,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,Aripuanã,-9.1667,-60.6333,73.87,87,77,1.16,BR,1685082371
86,Qui Nhon,13.7667,109.2333,86.02,65,40,10.22,VN,1685082372
87,Reggane,26.7158,0.1714,78.93,10,96,6.89,DZ,1685082373
88,Haiku-Pauwela,20.9219,-156.3051,74.05,77,0,10.36,US,1685082375
89,Antsiranana,-12.2787,49.2917,77.76,73,40,9.22,MG,1685082376
90,Cologne,50.9333,6.95,52.86,79,0,5.75,DE,1685082280
91,Tommot,58.9564,126.2925,57.96,32,81,11.23,RU,1685082378
92,Naze,28.3667,129.4833,74.32,79,100,12.48,JP,1685081897
93,Bilibino,68.0546,166.4372,56.93,28,76,2.15,RU,1685081786
94,Sarkand,45.41,79.9186,69.04,30,21,7.65,KZ,1685082382
95,Tambopata,-12.7333,-69.1833,71.19,99,49,2.39,PE,1685082383
96,Ushuaia,-54.8,-68.3,33.46,75,0,4.61,AR,1685082384
97,San Antonio de Palé,-1.4014,5.6325,79.09,85,99,15.61,GQ,1685082385
98,Guiuan,11.0333,125.7247,84.51,72,61,5.03,PH,1685082386
99,Hawaiian Paradise Park,19.5933,-154.9731,72.91,89,100,3.44,US,1685082388
100,Emmaus,40.5395,-75.4968,52.09,76,0,1.99,US,1685082096
101,Carbonear,47.7332,-53.2148,39.15,95,100,23.22,CA,1685082390
102,College,64.8569,-147.8028,70.12,50,75,14.97,US,1685082391
103,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,47,75,6.71,RU,1685082203
104,Dalandzadgad,43.5708,104.425,72.7,10,81,18.84,MN,1685082394
105,Huinca Renancó,-34.8404,-64.3758,59.34,96,100,6.82,AR,1685082395
106,Carnarvon,-24.8667,113.6333,79.36,35,96,9.13,AU,1685082396
107,Huittinen,61.1833,22.7,48.96,78,100,7.07,FI,1685082397
108,Tevriz,57.509,72.4042,66.76,26,9,4.85,RU,1685082398
109,Magadan,59.5667,150.8,47.53,87,96,6.4,RU,1685082399
110,Puerto Baquerizo Moreno,-0.9,-89.6,77.65,83,53,11.52,EC,1685082401
111,Enewetak,11.3474,162.3373,82.27,80,49,18.1,MH,1685082402
112,Dudinka,69.4058,86.1778,38.62,100,61,15.17,RU,1685082403
113,St. John's,47.5649,-52.7093,38.68,96,100,17.27,CA,1685082404
114,Timbuktu,16.7735,-3.0074,83.79,24,18,11.7,ML,1685082405
115,Kapuskasing,49.4169,-82.4331,44.69,70,20,5.75,CA,1685082408
116,Mufumbwe,-13.6833,24.8,62.35,49,10,5.84,ZM,1685082409
117,Egilsstadir,65.2653,-14.3948,44.51,53,0,6.91,IS,1685082410
118,Taro,-8.3862,115.28,77.0,57,48,5.41,ID,1685081979
119,Suntar,62.1444,117.6319,56.43,35,92,9.48,RU,1685082412
120,Pereira Barreto,-20.6383,-51.1092,64.85,68,0,7.99,BR,1685082413
121,Bulgan,48.8125,103.5347,55.92,21,86,7.47,MN,1685082414
122,Wynyard,-41.0,145.7167,53.98,70,89,13.27,AU,1685082415
123,Uturoa,-16.7333,-151.4333,81.82,76,45,11.07,PF,1685082416
124,Port Lincoln,-34.7333,135.8667,58.68,67,92,14.12,AU,1685082417
125,Arnö,60.1167,18.6333,47.79,61,58,14.07,SE,1685081862
126,Iranshahr,27.2025,60.6848,97.14,17,0,4.61,IR,1685082420
127,Happy Valley-Goose Bay,53.3168,-60.3315,35.91,93,20,6.91,CA,1685082421
128,Nelson,-41.2833,173.2833,53.42,86,100,3.09,NZ,1685082422
129,Olonkinbyen,70.9221,-8.7187,30.61,67,5,15.57,SJ,1685082423
130,Papatowai,-46.5619,169.4708,55.51,75,89,17.87,NZ,1685082424
131,Sisimiut,66.9395,-53.6735,31.15,86,93,17.11,GL,1685082426
132,Dzhalagash,45.0833,64.6667,83.91,17,1,9.44,KZ,1685082427
133,Bathsheba,13.2167,-59.5167,81.21,89,40,6.91,BB,1685082428
134,Bishkul,54.7803,69.1033,66.54,37,0,8.95,KZ,1685082429
135,Mugia,43.1041,-9.2179,59.16,74,0,23.0,ES,1685082129
136,Vadsø,70.0744,29.7487,47.28,49,0,6.91,NO,1685082431
137,Coyhaique,-45.5752,-72.0662,33.75,93,100,3.44,CL,1685082432
138,Nova Sintra,14.8667,-24.7167,69.57,83,88,14.47,CV,1685082434
139,Khōst,33.3395,69.9204,78.21,44,6,5.82,AF,1685082435
140,Guarapari,-20.6667,-40.4975,69.89,85,24,3.06,BR,1685082436
141,Polyarny,69.1989,33.4478,48.2,45,97,12.37,RU,1685082437
142,Finisterra,42.9049,-9.2629,59.02,68,0,22.37,ES,1685082438
143,Nuuk,64.1835,-51.7216,31.32,77,72,8.34,GL,1685082439
144,Callao,-12.0667,-77.15,70.09,83,75,9.22,PE,1685081996
145,Milledgeville,33.0801,-83.2321,66.34,71,75,5.75,US,1685082306
146,Kristiansund,63.1115,7.732,45.25,70,40,18.41,NO,1685082443
147,Flin Flon,54.7682,-101.865,54.07,96,99,6.22,CA,1685082444
148,Vilyuysk,63.7553,121.6247,53.71,30,5,10.47,RU,1685082445
149,Saipan,15.1355,145.701,88.5,100,40,14.97,MP,1685082446
150,Kaa-Khem,51.6833,94.7333,55.67,28,100,4.36,RU,1685082088
151,Thompson,55.7435,-97.8558,51.96,93,100,10.36,CA,1685082449
152,Ludwigslust,53.3167,11.5,52.83,73,3,9.6,DE,1685082450
153,Inarajan Village,13.2736,144.7484,82.17,86,99,13.02,GU,1685082451
154,Pontianak,-0.0333,109.3333,93.18,56,75,4.61,ID,1685081893
155,Addiet Canna,11.2667,37.4833,71.85,46,74,5.06,ET,1685082453
156,Barra dos Coqueiros,-10.9089,-37.0386,75.22,94,75,10.36,BR,1685082455
157,Tazacorte,28.629,-17.9293,63.57,79,40,5.75,ES,1685082456
158,La Ronge,55.1001,-105.2842,53.85,82,100,3.44,CA,1685082457
159,Woolgoolga,-30.1106,153.2007,69.67,42,30,8.9,AU,1685082458
160,Illapel,-31.6308,-71.1653,54.41,82,71,1.3,CL,1685082459
161,Sultangazi,41.1065,28.8685,64.72,72,0,4.61,TR,1685082461
162,Rehoboth,-23.3167,17.0833,43.09,88,0,5.5,NA,1685082462
163,Dakhla,23.6848,-15.958,65.71,89,97,9.46,EH,1685081933
164,Taesal-li,36.9714,126.4542,62.1,78,100,8.14,KR,1685082465
165,Whangarei,-35.7317,174.3239,53.26,88,58,3.38,NZ,1685082466
166,Wangaratta,-36.3667,146.3333,51.48,71,31,8.05,AU,1685082467
167,Udachny,66.4167,112.4,38.95,73,88,13.91,RU,1685082263
168,Hamilton,39.1834,-84.5333,54.45,62,0,12.66,US,1685082331
169,Lautoka,-17.6167,177.4667,75.06,69,20,6.91,FJ,1685082471
170,Glace Bay,46.1969,-59.957,42.06,97,100,8.05,CA,1685082438
171,Alta,69.9689,23.2717,43.86,60,75,9.22,NO,1685082473
172,Codrington,-38.2667,141.9667,55.15,73,99,16.24,AU,1685081991
173,Catherinas Lust,6.4,-57.6,76.66,93,96,9.1,GY,1685082475
174,Kotlas,61.2611,46.6556,62.73,86,88,10.4,RU,1685082476
175,Blackmans Bay,-43.0167,147.3167,53.73,69,100,13.49,AU,1685082477
176,Queenstown,-31.8976,26.8753,43.25,66,28,16.28,ZA,1685082478
177,Fortuna,40.5982,-124.1573,53.92,95,100,0.0,US,1685082211
178,Skellefteå,64.7507,20.9528,51.01,58,0,17.27,SE,1685082482
179,El Calafate,-50.3408,-72.2768,29.34,78,31,7.07,AR,1685082483
180,Oranjemund,-28.55,16.4333,52.18,77,63,7.05,NA,1685082484
181,Yanchep,-31.55,115.6833,70.12,33,0,6.4,AU,1685082485
182,Hadjout,36.5126,2.4138,64.04,76,17,2.71,DZ,1685082487
183,Holzminden,51.828,9.4455,53.11,88,26,5.08,DE,1685082478
184,Pisco,-13.7,-76.2167,68.05,83,100,12.66,PE,1685082489
185,Lā‘ie,21.6477,-157.9253,78.76,72,22,16.84,US,1685082490
186,Lebu,-37.6167,-73.65,52.9,84,92,8.32,CL,1685082456
187,Nālūt,30.3333,10.85,66.4,61,0,6.98,LY,1685082493
188,Raduzhny,62.0961,77.475,61.0,31,80,1.28,RU,1685082494
189,Cockburn Town,21.4612,-71.1419,81.41,79,3,11.45,TC,1685082276
190,Margate,51.3813,1.3862,54.3,72,13,8.99,GB,1685082497
191,Afaahiti,-17.75,-149.2833,78.67,79,15,8.46,PF,1685082500
192,Charlestown,-32.95,151.6667,58.1,85,96,11.01,AU,1685082501
193,Yuzhno-Kurilsk,44.0306,145.8556,57.51,71,26,11.99,RU,1685082503
194,Laguna,38.421,-121.4238,60.17,82,0,6.91,US,1685082080
195,Gadzhiyevo,69.2551,33.3362,48.04,45,95,13.24,RU,1685082508
196,Viqueque,-8.8673,126.3658,82.58,49,68,7.11,TL,1685082510
197,Province of Brindisi,40.5833,17.6667,69.8,75,85,15.68,IT,1685082512
198,Kodīnar,20.7903,70.7031,88.48,64,23,17.27,IN,1685082514
199,Arenápolis,-14.4503,-56.8461,75.72,65,87,2.82,BR,1685082515
200,Mountain Home,43.133,-115.6912,61.43,62,0,11.5,US,1685082516
201,Chhabra,24.6667,76.8333,95.94,29,48,14.05,IN,1685082518
202,Rifle,39.5347,-107.7831,57.9,41,0,4.61,US,1685082522
203,Varangaon,21.0167,75.9,97.32,27,0,15.7,IN,1685082525
204,Hadibu,12.65,54.0333,86.77,63,11,5.08,YE,1685082527
205,Badger,64.8,-147.5333,70.05,49,100,14.97,US,1685082528
206,Mossamedes,-15.1961,12.1522,67.87,80,0,13.89,AO,1685081970
207,Cidade Velha,14.9167,-23.6167,72.07,83,0,16.11,CV,1685082532
208,Inírida,3.8653,-67.9239,72.19,99,100,1.36,CO,1685082066
209,Nyagan,62.1406,65.3936,65.16,55,99,7.18,RU,1685082534
210,Krasnyy Chikoy,50.3643,108.7512,55.33,28,86,13.56,RU,1685082535
211,Xinqing,48.2333,129.5,71.42,42,93,10.85,CN,1685082536
212,La Sarre,48.8002,-79.1996,40.39,64,96,3.98,CA,1685082538
213,Rio Grande,-32.035,-52.0986,64.2,85,4,9.93,BR,1685082539
214,Saint-Pol-de-Léon,48.6833,-3.9833,54.79,84,100,10.36,FR,1685082540
215,Livermore,37.6819,-121.768,56.8,85,0,16.11,US,1685082319
216,New Norfolk,-42.7826,147.0587,54.91,67,100,5.01,AU,1685082543
217,Mishelevka,52.8575,103.1719,43.07,84,100,10.27,RU,1685082544
218,Constanța,44.1833,28.65,66.88,80,97,8.9,RO,1685082318
219,Waddān,29.1614,16.139,72.18,44,0,4.61,LY,1685082547
220,São Raimundo das Mangabeiras,-7.0219,-45.4811,72.77,69,3,3.09,BR,1685082548
221,Noshiro,40.2039,140.0242,61.63,76,100,5.3,JP,1685082549
222,East London,-33.0153,27.9116,56.34,67,0,18.41,ZA,1685082550
223,Linxia Chengguanzhen,35.6003,103.2064,65.5,47,69,4.5,CN,1685082051
224,Murzuk,25.9155,13.9184,78.6,17,9,5.35,LY,1685082553
225,Iskateley,67.6803,53.1512,58.96,93,97,14.56,RU,1685082554
226,Calama,-22.4667,-68.9333,41.49,38,0,14.97,CL,1685082530
227,Benalla,-36.55,145.9833,48.31,57,43,8.77,AU,1685082556
228,Rome,43.2128,-75.4557,43.66,93,0,4.61,US,1685082558
229,Hasaki,35.7333,140.8333,74.21,64,99,13.13,JP,1685082559
230,Adams,39.8667,-104.3839,60.06,85,93,7.11,US,1685082560
231,Severo-Vostotchnyi Bank,39.4112,49.2479,72.27,68,98,7.4,AZ,1685082561
232,Ribeira Brava,32.65,-17.0667,63.72,73,13,2.73,PT,1685082562
233,Susuman,62.7833,148.1667,46.74,38,59,4.47,RU,1685082564
234,Zheshart,62.0731,49.5733,72.63,53,49,13.56,RU,1685082565
235,Malango,-2.9627,119.9001,76.3,89,83,2.21,ID,1685082566
236,Aasiaat,68.7098,-52.8699,27.34,91,85,7.18,GL,1685082567
237,Huarmey,-10.0681,-78.1522,71.17,83,85,11.16,PE,1685082568
238,Copiapó,-27.3667,-70.3333,55.09,78,99,2.77,CL,1685082570
239,Dryden,49.7833,-92.7503,61.09,55,0,9.22,CA,1685082455
240,Atafu Village,-8.5421,-172.5159,83.88,72,13,10.38,TK,1685082572
241,Port Douglas,-16.4833,145.4667,75.65,75,100,11.03,AU,1685082573
242,Ménaka,15.9182,2.4022,90.72,17,45,6.62,ML,1685082574
243,Jamestown,42.097,-79.2353,46.04,76,0,1.01,US,1685082503
244,Trujillo,-8.116,-79.03,71.56,88,69,8.05,PE,1685082578
245,Lihue,21.9789,-159.3672,72.99,89,100,12.66,US,1685082579
246,Šilalė,55.4906,22.1814,57.18,68,37,6.82,LT,1685082580
247,Kayangel,8.0823,134.7173,83.97,79,90,26.91,PW,1685082581
248,Tazovsky,67.4667,78.7,44.87,83,100,13.53,RU,1685082584
249,Kedrovyy,56.1667,91.8167,52.21,34,69,5.1,RU,1685082585
250,Nogliki,51.8333,143.1667,48.99,74,89,5.64,RU,1685082097
251,Sittwe,20.15,92.9,87.21,67,48,8.5,MM,1685082587
252,Forster,-32.1667,152.5167,60.57,74,75,16.93,AU,1685082588
253,Belen,36.4891,36.2233,66.34,64,0,5.75,TR,1685082437
254,Witu,-2.3889,40.4382,82.08,64,41,13.11,KE,1685082591
255,Jalalaqsi,3.3766,45.5996,84.25,55,3,13.0,SO,1685082592
256,Waqqāş,32.5427,35.6053,73.4,46,65,0.47,JO,1685082593
257,Acaraú,-2.8856,-40.12,76.84,88,35,10.83,BR,1685082594
258,Zhangaözen,43.3,52.8,81.91,19,99,20.38,KZ,1685082595
259,Vorkuta,67.5,64.0,64.58,76,60,14.58,RU,1685082596
260,Kingston,17.997,-76.7936,81.55,69,20,5.75,JM,1685082407
261,Tsiombe,-25.3,45.4833,75.58,53,0,8.01,MG,1685082603
262,Grajaú,-5.8194,-46.1386,75.15,77,100,2.51,BR,1685082606
263,Utrik,11.2278,169.8474,82.08,80,100,18.72,MH,1685082617
264,Theunissen,-28.411,26.7011,43.52,67,6,6.08,ZA,1685082618
265,Pathein,16.7833,94.7333,96.58,39,75,13.89,MM,1685082084
266,Tôlanaro,-25.0319,46.9987,69.87,88,40,6.91,MG,1685082620
267,Vilyuchinsk,52.9306,158.4028,55.67,65,24,6.87,RU,1685082622
268,Chamdo,31.1667,97.2333,63.05,19,19,19.35,CN,1685082623
269,Ghadames,30.1337,9.5007,70.45,51,0,10.25,LY,1685082624
270,Al Hazm,16.1641,44.7769,88.07,30,40,0.63,YE,1685082625
271,Mili,6.0815,171.735,82.85,78,84,17.13,MH,1685082627
272,Antofagasta,-23.65,-70.4,58.28,77,100,6.89,CL,1685082123
273,Novopavlovsk,43.9622,43.6342,71.01,69,73,4.14,RU,1685082425
274,Hithadhoo,-0.6,73.0833,75.96,91,100,7.05,MV,1685082630
275,Demba,-5.51,22.2667,79.14,62,99,3.0,CD,1685082632
276,Saint Helier,49.188,-2.1049,55.45,44,75,13.8,JE,1685082633
277,Motueka,-41.1333,173.0167,52.92,87,100,4.25,NZ,1685082520
278,Florestópolis,-22.8633,-51.3872,58.55,86,0,6.26,BR,1685082636
279,Lata,40.1629,-8.3327,60.08,67,38,4.63,PT,1685082637
280,Ibotirama,-12.1853,-43.2206,67.35,84,1,3.83,BR,1685082638
281,Belmonte,-15.8631,-38.8828,73.63,87,32,8.75,BR,1685082639
282,Aweil,8.7682,27.4002,90.57,41,96,8.61,SS,1685082641
283,Bikenibeu Village,1.3673,173.1241,85.96,79,20,6.91,KI,1685082642
284,Vorgashor,67.5833,63.95,64.24,77,71,14.45,RU,1685082085
285,Nguigmi,14.2495,13.1092,91.85,33,5,16.91,NE,1685082645
286,Denison,33.7557,-96.5367,69.94,85,0,5.75,US,1685082646
287,Canguçu,-31.395,-52.6756,59.0,78,7,5.46,BR,1685082647
288,Shalqar,47.8333,59.6,82.63,18,0,8.12,KZ,1685082649
289,Gufeng,26.9083,118.9819,79.54,74,100,0.87,CN,1685082651
290,Ajdabiya,30.7554,20.2263,75.02,59,0,19.1,LY,1685082652
291,Micheweni,-4.9667,39.8333,82.71,65,4,13.15,TZ,1685082654
292,Puerto Lempira,15.2667,-83.7667,77.11,82,6,5.23,HN,1685082655
293,Long Beach,33.767,-118.1892,62.98,81,100,4.61,US,1685082630
294,Darwin,-12.4611,130.8418,85.98,51,0,12.66,AU,1685082629
295,Xapuri,-10.6517,-68.5044,71.73,95,71,1.66,BR,1685082364
296,Sianów,54.2265,16.2913,53.58,72,6,12.55,PL,1685082663
297,Chonchi,-42.6128,-73.8092,36.61,93,100,3.09,CL,1685082665
298,Ciudad Real,39.0,-4.0,57.25,97,100,8.01,ES,1685082667
299,Richards Bay,-28.783,32.0377,73.2,80,38,13.18,ZA,1685082668
300,Fort St. John,56.2499,-120.8529,55.29,71,0,9.22,CA,1685082669
301,Adamovka,51.5223,59.9396,81.03,21,3,3.6,RU,1685082670
302,Coeur d'Alene,47.6777,-116.7805,61.68,63,75,9.22,US,1685082672
303,Al Muwayh,22.4333,41.7583,89.58,19,1,9.53,SA,1685082673
304,Zhetikara,52.1908,61.2006,80.28,27,7,8.61,KZ,1685082674
305,Namtsy,62.7161,129.6658,55.08,36,33,7.87,RU,1685082203
306,Prome,18.8167,95.2167,105.94,23,0,1.43,MM,1685082677
307,Arteche,12.2645,125.4048,83.84,82,11,9.73,PH,1685082678
308,Huanan,46.2167,130.5167,77.2,30,25,17.67,CN,1685082679
309,Daru,-9.0763,143.2092,78.31,88,100,13.2,PG,1685082680
310,Uliastai,47.7417,96.8444,51.75,49,96,8.97,MN,1685082682
311,Vila Franca do Campo,37.7167,-25.4333,61.21,89,54,7.58,PT,1685082683
312,Saldanha,-33.0117,17.9442,50.05,63,93,7.54,ZA,1685082684
313,Aldinga Beach,-35.2793,138.4604,60.44,73,100,10.92,AU,1685082685
314,Newman,37.3138,-121.0208,62.94,69,59,1.99,US,1685082686
315,Falam,22.9167,93.6833,81.28,38,54,2.01,MM,1685082688
316,Aykhal,66.0,111.5,37.4,71,100,11.61,RU,1685082689
317,Okhotsk,59.3833,143.3,40.28,76,60,11.99,RU,1685082690
318,Maceió,-9.6658,-35.7353,74.64,100,40,1.14,BR,1685082692
319,Na Wa,17.4897,104.1006,89.64,71,100,5.68,TH,1685082693
320,Amos,48.5669,-78.1162,38.86,70,100,2.89,CA,1685082602
321,Coelho Neto,-4.2567,-43.0128,71.67,92,28,0.92,BR,1685082430
322,Fort Bragg,35.139,-79.006,62.15,64,100,5.99,US,1685082696
323,Tabou,4.423,-7.3528,77.76,88,100,3.31,CI,1685082698
324,Itoman,26.1247,127.6694,81.37,55,75,17.27,JP,1685082699
325,Belyy Yar,53.6039,91.3903,55.29,30,0,4.47,RU,1685082700
326,Sheksna,59.21,38.5107,64.36,60,36,7.94,RU,1685082701
327,Ngorongoro,-3.2397,35.4875,55.56,79,88,7.23,TZ,1685082703
328,Enshi,30.3,109.4833,74.95,89,100,1.16,CN,1685082704
329,Vilhena,-12.7406,-60.1458,68.2,85,12,2.37,BR,1685082705
330,Jalai Nur,49.45,117.7,59.05,20,100,22.17,CN,1685082707
331,Pacific Grove,36.6177,-121.9166,55.65,89,100,5.75,US,1685082427
332,Mersing,2.4312,103.8405,80.51,94,40,1.14,MY,1685082709
333,Porto-Novo,6.4965,2.6036,80.42,85,99,3.91,BJ,1685082710
334,Kankara,11.9302,7.4127,83.61,50,90,10.27,NG,1685082712
335,Chipata,-13.6333,32.65,71.11,49,5,5.59,ZM,1685082713
336,Yemetsk,63.4721,41.7941,61.29,70,100,10.6,RU,1685082714
337,Franklin,39.9667,-83.0166,51.24,66,40,8.05,US,1685082715
338,Swakopmund,-22.6833,14.5333,45.45,77,0,8.34,NA,1685082716
339,Borodūlīkha,50.7184,80.9295,66.13,27,5,14.03,KZ,1685082718
340,Nizhneangarsk,55.7833,109.55,38.39,75,100,2.98,RU,1685082719
341,Coral Springs,26.2712,-80.2706,73.98,90,20,5.75,US,1685082720
342,Valparaíso,-33.0393,-71.6273,60.01,60,0,10.36,CL,1685082679
343,Manokwari,-0.8667,134.0833,84.02,73,100,6.8,ID,1685082723
344,Mil’kovo,55.6078,37.7956,70.29,56,7,4.21,RU,1685082724
345,La Curva,12.4048,121.0459,86.99,67,100,5.53,PH,1685082725
346,Ironwood,46.4547,-90.171,52.61,50,0,5.75,US,1685082528
347,Nemuro,43.3236,145.575,51.19,89,44,19.35,JP,1685082728
348,Kem',64.9555,34.5793,52.05,37,100,12.55,RU,1685082729
349,San Andrés,12.5847,-81.7006,82.42,78,75,5.75,CO,1685082730
350,Berezovyy,51.6667,135.7,65.55,61,64,4.07,RU,1685082731
351,Nelson Bay,-32.7167,152.15,57.09,96,100,24.7,AU,1685082733
352,Siverek,37.755,39.3167,75.34,40,5,4.81,TR,1685082734
353,Hyesan-dong,41.3976,128.1787,69.42,41,87,10.69,KP,1685082735
354,Copala,16.65,-98.9833,80.53,78,71,3.31,MX,1685082736
